0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,class
-0.06553052,0.093111366,-0.080423914,0.14142784,0.128898,-0.082821555,0.024927264,0.044112645,0.044474505,-0.0074037667,-0.10049841,0.029096816,0.050390217,0.013912853,0.024509348,0.0058006076,-0.0068480605,-0.028245911,-0.0012656292,0.16746363,0.0062670805,0.020126184,-0.021842001,0.054633625,0.0020126111,0.10071998,-0.019189194,0.02922288,0.0020212373,-0.03565543,0.07419524,-0.017490085,-0.03892051,-0.07248612,-0.010064557,-0.0668576,0.034669515,-0.0026904887,0.07159848,-0.0039209877,-0.07028278,-0.012629815,-0.07237107,-0.10138972,0.050597716,-0.014605542,-0.064935684,-0.047455885,-0.02635293,-0.029370166,-0.053493045,0.037445486,-0.07752355,0.09450309,0.02579462,0.04784523,-0.03183911,0.034902275,0.032181475,-0.038912047,-0.0074933777,0.045653205,-0.027128771,-0.00029272586,0.023379724,0.021492437,-0.013922023,0.03241813,0.06863398,-0.07385692,-0.01916337,-0.03902655,0.098474875,-0.039270222,-0.062860146,0.08729818,-0.032419853,0.16741371,-0.06662906,0.071675815,0.03552584,0.018588642,0.093857415,-0.01852558,0.048248857,0.098924614,0.109558314,-0.0729028,0.06670386,0.08140767,-0.07188207,-0.008015074,0.011178845,0.0060584364,-0.026064422,0.055490676,-0.027588673,0.03401726,-0.03412484,0.0668576,-0.019977938,-0.1009448,-0.016439777,0.048849963,0.057826634,-0.04432031,0.041304298,-0.019426377,-0.023954043,-0.04711952,-0.03381984,0.012493132,0.06366995,0.01577509,0.08837208,0.0056856186,-0.053079255,0.05195501,-0.026093718,-0.08961362,0.08007947,-0.002195032,0.090158634,-0.11114748,0.061752655,0.026528312,-0.060104318,0.041513197,rabbit
-0.16988806,0.16623469,-0.082968466,0.1036938,0.04358359,0.025296757,0.1440327,0.036886055,0.06343241,-0.036913615,-0.046612825,0.09035092,0.025395317,-0.012433495,-0.10821766,-0.042310964,0.0011893488,0.00178434,-0.1459309,0.08507083,-0.055215977,0.05662498,0.036266327,0.070698224,-0.0142803285,0.08892544,-0.07145648,0.07378297,0.103681356,0.116397664,0.046517987,0.07469302,0.1045457,0.03139359,-0.038036242,0.00960654,0.019668425,0.06966386,0.12362262,-0.0276162,-0.048839293,0.13036703,-0.037730604,-0.08786223,0.12589027,0.011868634,-0.05102839,-0.15716359,0.028564215,-0.020272605,0.02894999,-0.06989319,-0.012563829,-0.0454707,-0.10078638,6.188126e-05,-0.0059035546,-0.05515186,0.04142369,0.005755696,-0.12276224,0.0945625,0.08993642,-0.11812171,0.033825587,-0.033830877,-0.078209646,0.07362523,0.117599666,0.09350594,0.019121427,-0.0135052465,0.023946922,0.082750194,-0.053764448,-0.008944493,0.0049726553,0.16591981,-0.021534286,0.02262091,0.2080304,-0.0055960785,0.1617354,0.009238128,-0.008541997,0.13225357,0.07513504,-0.032434627,0.12505023,0.10079599,0.06577817,-0.048422374,0.098254226,-0.100494325,-0.015572455,0.08362069,0.06931293,-0.05872289,0.052610703,0.029323695,0.082262106,0.044352893,-0.12233663,-0.0039152876,0.060954586,-0.12391231,0.035514515,0.007256876,0.055980954,-0.12593603,-0.043402404,-0.03524725,-0.03165824,0.022454103,0.033005897,-0.06588956,0.033499125,-0.0037108108,-0.12660842,-0.09820736,0.013624754,0.044575416,0.168297,-0.08256723,0.10800007,0.11821972,0.06272785,0.024045398,monkey
0.17693426,0.123502836,-0.0659934,0.013934821,0.09336499,0.054743912,0.028749466,0.007056125,0.0021945867,0.0479749,-0.1409295,0.0095039755,0.052827425,-0.017003495,-0.07061473,-0.0029425211,-0.017172968,0.001814966,0.031376615,0.14033541,0.09577499,0.041478734,0.13098474,0.014412279,0.11268331,0.029193746,-0.0058524837,0.07215545,0.044900835,0.05471159,0.05742976,-0.06344287,-0.011862365,-0.08568933,0.0020833435,-0.028213372,-0.020692527,-0.008051745,0.02736223,-0.05682474,-0.05550718,0.012522759,-0.057581134,-0.20704892,-0.0007567182,-0.0076247426,-0.14955096,-0.1151958,-0.017531034,-0.04064675,0.027324185,-0.008877421,-0.1457153,-0.033694856,0.025221575,-0.046288416,-0.06870767,-0.07080046,-0.04871137,-0.12366833,-0.052581526,-0.0135459555,-0.08606229,-0.13960096,-0.0078021614,-0.017705586,0.13807642,-0.17129079,-0.013310971,0.02757892,0.094718486,-0.08086781,0.19859682,-0.06656599,-0.06715073,0.067761175,-0.052445956,0.10263561,-0.08496743,0.12704258,0.12427554,-0.12767452,0.17477047,-0.046097577,0.031696368,0.12817623,0.032141298,0.07858185,0.1809781,-0.022661308,0.038635284,-0.10381337,-0.008026218,-0.012128212,0.01815236,0.030268507,-0.019801091,-0.18642917,-0.039102264,0.004567547,-0.0342637,-0.0242002,-0.063328974,-0.01094084,0.03771782,-0.1431647,0.067612216,0.03360898,0.028619787,-0.019645358,-0.061673474,-0.20471212,0.13367458,0.0031172428,-0.013287605,0.06587343,0.0005578273,0.051931914,-0.11545809,-0.044973176,-0.058950014,-0.18129288,0.035097525,-0.06813971,-0.029841786,0.07151491,-0.02885814,-0.00014034426,rhinoceros
0.015689038,0.10352966,-0.123625144,0.36546376,0.07359016,-0.015288635,-0.014657817,0.044717833,0.032594625,0.06251839,-0.07625522,-0.11779168,0.20399196,0.023062639,0.0058086673,0.0025587545,-0.07246772,0.0796208,-0.16650304,0.04242823,0.27105525,0.038808513,0.049065135,0.0072499732,0.023572002,0.11567007,-0.007805812,0.2385766,0.010635363,-0.037406042,0.23065272,0.15597188,-0.049378328,0.09199681,0.047543854,0.16617937,-0.058923237,-0.124452904,0.021514442,-0.02403378,-0.11143568,0.008120839,-0.032738097,-0.10735719,0.025342891,-0.14706223,-0.12124633,-0.20535672,-0.008428263,0.15314662,-0.16219099,-0.078543335,-0.10526417,-0.005115569,-0.057665937,0.041302547,-0.02652562,0.025035854,0.03420418,-0.15724395,-0.21871197,0.09350867,-0.030688345,0.029823164,0.014269102,0.08267982,-0.007944448,-0.0046717483,-0.069868006,-0.32047275,0.20965718,9.143585e-05,0.1046038,-0.008242105,-0.042945273,0.21000415,0.15483107,0.36012495,0.04890266,0.25193965,0.113018274,0.011073273,0.14631726,-0.050101362,-0.024651635,0.12964047,0.087088086,0.039842624,0.18271878,0.042067185,-0.15106142,-0.16844721,-0.006478689,-0.19816366,0.018673781,0.059343953,-0.019262524,-0.19663422,-0.0037333735,0.030380435,-0.09708968,-0.023958968,0.012950919,0.014231821,0.048031967,-0.12858067,0.06575746,0.10294883,-0.10979979,0.015063381,-0.14407443,-0.20463012,0.19853686,0.22892635,0.20555341,0.007335118,-0.00685638,-0.007051533,-0.03832945,-0.09757323,0.08056076,-0.12671171,0.08994552,-0.087451115,0.17596614,0.061975528,-0.1549289,0.19215412,gorilla
0.022446066,-0.12322185,-0.07078917,0.29275265,0.021206073,0.10184921,0.024768554,0.019665133,0.071377486,0.0052396553,-0.14689328,-0.008762127,-0.06869571,0.023837212,-0.014224712,-0.12903155,-0.0016718127,-0.0015012799,-5.729031e-06,0.19500555,0.028176602,0.040187996,0.06510553,-0.24962857,-0.051001225,0.076591104,-0.045982443,0.0359498,0.08047056,0.08698668,0.18686183,0.097871944,-0.033700805,-0.06551406,-0.031424336,-0.08716024,-0.18944266,-0.059962403,0.11890232,0.112240665,-0.1681924,-0.06036869,-0.04127082,-0.06044598,0.06748859,-0.03437305,-0.16710204,-0.23426227,-0.02048173,0.017510492,-0.22971839,0.018346393,-0.16530718,-0.13027427,0.17195731,-0.0054968325,-0.003937692,0.0040591294,-0.063550726,0.024997354,-0.044975903,0.008938362,-0.075850934,-0.21145974,-0.09023395,-0.045754794,-0.057289887,-0.03131038,-0.14826351,-0.16939858,0.16529667,-0.005092944,-0.031387966,-0.021939103,0.000521929,0.07624327,0.13960917,0.118181705,-0.049441118,0.09908547,0.028046297,0.022785764,0.25017336,-0.068893105,0.08327384,0.08058796,-0.08679199,0.068716414,0.19077073,0.1531663,-0.09101456,0.00600617,-0.0694652,-0.027236676,-0.09101804,0.046972495,-0.11159408,-0.09826888,-0.17728746,0.04372394,-0.03144936,-0.054365166,-0.022703286,0.1336243,0.15810722,-0.02573251,0.14395092,0.10725005,-0.0064350134,-0.19831142,-0.12474495,-0.030952608,0.057547823,0.09357492,0.14139096,0.026360808,0.19464272,0.095199645,-0.04070931,0.01937924,0.04832963,-0.0024957922,0.15523607,-0.020380609,0.03134098,-0.12238171,-0.012402629,0.07104451,ox
-0.035257198,0.023139691,-0.066949025,0.29933414,-0.08859878,-0.077459104,0.09739619,-0.06895051,-0.00032183342,-0.06632179,-0.07163532,-0.090061925,0.15593576,0.03542572,0.03408573,0.031319905,0.04856157,0.040350553,-0.19739126,0.012006288,-0.20154387,0.11833484,0.05498276,0.07982039,-0.006609536,-0.009131767,0.027341254,0.07877512,0.0047853366,0.22411989,0.13356791,0.1114786,0.09179422,0.034045383,0.048461303,-0.046366468,-0.07067569,-0.13298726,0.0948092,0.104316935,-0.19738396,-0.078839235,-0.06390654,-0.11024824,0.10388344,-0.14041084,-0.09640434,-0.15045664,0.040459022,-0.038062766,-0.04286432,-0.025954345,-0.13304633,-0.011397807,0.09416387,-0.07689729,-0.04129917,0.110433936,0.02754985,-0.007426569,0.00059814006,-0.0113462955,0.18851317,-0.1733664,0.04941591,0.0071710423,-0.13468505,0.1117739,-0.042251267,-0.18968715,0.20264654,0.011323889,0.030814338,0.06507304,-0.07900394,0.019059595,0.1287262,0.1881672,0.065421246,0.14427112,0.17182726,-0.036423057,0.31013262,-0.01975594,0.058614105,-0.0024772878,0.033662476,0.13579206,0.24386358,0.09664767,-0.19579755,-0.017559895,-0.03542853,-0.0664738,0.09734428,0.03895092,-0.07688157,-0.10137358,-0.067637146,-0.0022399258,-0.103005,0.033986725,-0.05863095,0.14663585,0.12719631,-0.02676965,0.16384202,-0.07549138,0.0033898577,-0.05193717,-0.17558807,-0.0048682187,-0.069335945,0.068111725,0.20019893,0.047049537,0.1480899,0.013332734,-0.07643093,-0.087023444,0.020794325,0.009282109,0.07028381,-0.06491022,0.12323419,-0.1744971,0.015955783,0.16403061,killer_whale
-0.028716505,0.07262694,0.035536125,0.12726665,0.1714352,0.18157035,0.14629711,-0.048334036,0.02807229,-0.1634945,-0.056341745,0.085811056,0.10312283,-0.015250354,0.040535077,0.06221051,0.0969836,-0.053115897,-0.020213878,0.092651166,0.023146668,0.08224539,-0.0060230214,0.06059609,-0.06922021,0.01668081,0.087211184,0.15239291,0.16438949,0.074833944,0.099023126,0.050050683,-0.03808079,-0.021092078,0.10442939,-0.09390065,-0.0980029,0.09886148,0.040191974,0.02117237,0.046381727,0.042292435,-0.0925363,0.048350118,0.07491808,-0.0018311836,-0.10460463,-0.04413468,-0.20174333,0.034218725,0.06759288,-0.03606611,-0.09460017,0.04804505,-0.10238812,0.034146633,-0.038759563,-0.07453485,0.08433934,0.1167025,-0.033309277,0.022365842,0.09612681,-0.18298303,0.013334937,0.011118249,-0.099711016,0.10811532,0.081253625,-0.038099553,0.11957384,-0.040576164,0.11196555,-0.020847348,-0.02032566,0.17624585,-0.051263444,0.17301807,-0.07870546,0.14960797,0.11059436,0.02915303,0.3764375,-0.08931579,-0.0006883561,0.06852891,0.13859805,0.0125768585,-0.019669976,0.09964777,-0.050659373,0.08644817,0.11876455,-0.08387721,0.027086955,0.23869112,-0.06906833,0.10389659,-0.060819697,-0.10318386,0.04596768,0.036903992,-0.0676308,0.059270233,-0.0036105653,0.032571163,0.002542153,-0.012984069,-0.02897151,-0.26099807,-0.06257167,-0.07023487,-0.028947458,0.0690997,0.1323626,-0.04669148,0.00034492672,0.1360042,-0.023473468,-0.011142437,-0.019986687,-0.0121920705,0.108226255,-0.10335508,0.11154174,0.026679503,-0.0035249274,-0.026758196,blue_whale
0.062263366,0.113388896,-0.14049634,0.21920675,0.23949862,0.048484515,0.036659643,0.060827762,0.16010047,0.065241896,0.072433755,0.0731339,0.21741393,0.022693682,-0.154981,0.013625416,-0.11700092,0.020925336,-0.1614536,0.13758036,0.08449371,-0.045969766,0.12531707,0.0066082445,0.029656772,0.030539744,-0.03631388,0.07014522,0.017779388,-0.16368097,0.059708543,0.04043058,-0.12036223,0.02993239,0.041712098,-0.06336476,-0.03646324,0.054285634,0.1382437,0.084958665,0.06019723,0.04853566,-0.016251938,-0.20224984,0.013059485,0.08171625,-0.08772485,-0.16603765,-0.014146317,-0.07881949,-0.08374028,0.03577874,0.029171593,-0.03255635,-0.0356842,-0.07817629,-0.09882104,-0.058343463,-0.0016144654,-0.14521846,-0.17871557,0.06847027,-0.02041154,-0.16560967,-0.080031574,0.031814683,0.124204956,0.049973585,0.12847449,-0.14787804,-0.040532682,-0.1790944,0.32116398,0.0453808,-0.08505884,-0.004820286,-0.088806935,0.23047903,-0.06913545,0.08587638,0.29839846,-0.13995935,0.14890261,0.046088733,-0.013070615,0.12592581,-0.09728972,0.06764263,0.104360774,0.14874245,-0.1344013,-0.12627205,0.22951388,-0.0039014313,-0.13557582,0.0024693925,-0.03707604,-0.033499505,-0.1375534,0.011376623,-0.03355146,-0.0705085,0.034300055,-0.056610346,0.07980136,0.079991706,0.089418225,0.024732165,-0.04503352,0.008269188,0.015915493,-0.024889665,0.18611795,0.055644516,-0.10577868,0.012254152,0.08777991,-0.038793456,-0.046733584,-0.10907025,0.07005148,0.008193578,0.14825341,-0.13152266,0.16128765,0.07016244,-0.0072205653,0.17006564,lion
0.024951445,0.08796051,-0.06820429,0.010305441,0.14632201,0.040830165,0.0017533078,0.03845764,0.13420014,0.002085161,0.03702006,-0.0825608,-0.032351155,0.06302931,-0.03280663,-0.012076069,0.035104334,0.010667067,-0.068374045,0.10444459,0.039128274,0.14291409,-0.11416394,-0.013095364,0.09501347,-0.09578971,-0.05414306,0.014289848,0.0465077,0.10300775,0.07111905,0.024520475,-0.08555354,0.028105011,0.08752332,-0.053713366,-0.08778986,-0.0033539082,0.13948007,0.071012706,-0.05455165,0.028790483,-0.09747029,-0.14524859,0.07682067,0.03554115,-0.18589266,-0.06575942,-0.04618416,0.08519174,-0.07340339,-0.008542504,-0.014859865,0.036762662,-0.11005676,0.050668925,-0.07017418,-0.10475507,-0.03688313,-0.078395985,-0.14171351,0.21125571,0.10398954,-0.15121402,0.014745373,0.018684484,-0.018076485,0.057778046,0.17375141,-0.08846525,0.1971086,-0.007136182,0.13130216,0.080210134,0.0076607955,-0.10351383,-0.02669487,0.1775704,-0.12878329,0.06674007,0.08113437,0.011629548,0.13478594,0.025320219,-0.051070865,0.117901444,-0.124764256,0.05872404,0.14306971,0.07564882,0.11482676,-0.030067494,0.07673576,-0.106203005,0.019489165,0.06295223,0.005083857,0.0050440077,-0.041824754,0.05840753,0.07633795,-0.098323025,-0.111422144,-0.046455152,0.027154155,-0.061383657,0.0026927616,-0.045825683,0.022682516,-0.07037836,-0.0044244016,0.034442645,0.11412041,-0.046378456,0.17768845,0.07271546,0.023578241,0.03889988,-0.042793643,-0.03638398,0.03918598,-0.02410517,0.12772682,0.011457619,0.21681961,-0.027952163,-0.07867716,-0.06406089,walrus
-0.013135766,0.144511,-0.28578213,0.29051298,0.324416,0.15753546,0.11036366,-0.06033511,0.12437487,0.025806239,-0.17911829,0.033057243,0.1374225,-0.08365231,-0.03414496,-0.044918288,0.052637704,-0.11085213,-0.054791357,0.29571167,0.0556359,0.03561596,-0.013033604,0.056982704,-0.15887955,-0.027398849,-0.0024130878,0.108246274,0.19312117,0.31072035,0.07996041,0.19343778,-0.06297861,-0.013316102,-0.07974163,0.024353532,-0.1600217,-0.009714912,0.26423153,0.06811898,-0.13065931,0.08463798,-0.07111896,-0.098270476,0.013400362,-0.035090994,-0.24777508,0.00015201536,-0.103259504,0.10547095,0.13626635,-0.022923607,-0.025685027,0.15690263,-0.11288159,0.078807674,-0.07100065,0.0038639426,-0.12678578,-0.017233932,-0.012697527,-0.046661995,-0.13469273,-0.34512565,0.026624676,0.031439926,0.010119273,-0.07260535,0.044411093,-0.070369855,0.2901331,0.047772214,0.04072805,-0.03867265,0.06460159,0.1882291,0.067423984,0.27303466,-0.2060852,0.22734389,0.18531197,-0.0131516885,0.3390169,-0.0020754416,0.027164916,0.19308284,0.0289732,-0.0037422073,0.114283614,0.12450207,0.09500115,-0.030939749,0.21393113,-0.18963605,-0.16875218,-0.03314836,-0.30884424,-0.026113631,-0.0386387,0.10956598,0.04059979,0.06784684,-0.11000031,0.21552202,0.115710676,-0.17344278,0.17028557,0.038422387,-0.0067190556,-0.4372865,0.14157408,-0.02405629,-0.0059934133,0.10713747,0.23251602,-0.151947,0.033003636,0.048137195,-0.008252262,-0.046470612,0.045662604,0.06299927,0.26493746,-0.09859603,0.19626044,-0.09417292,-0.059822973,-0.07934277,bobcat
