iter	Passed	Remaining
700	274079	116903
701	274422	116492
702	274854	116119
703	275194	115706
704	275623	115331
705	276019	114942
706	276300	114506
707	276685	114113
708	276971	113679
709	277383	113297
710	277865	112944
711	278254	112552
712	278682	112176
713	279034	111770
714	279418	111376
715	279867	111008
716	280186	110589
717	280595	110205
718	280861	109766
719	281182	109348
720	281523	108939
721	281842	108521
722	282237	108132
723	282666	107756
724	283082	107376
725	283575	107024
726	283970	106635
727	284352	106241
728	284725	105844
729	285081	105441
730	285417	105030
731	285804	104638
732	286127	104223
733	286469	103815
734	286993	103473
735	287396	103087
736	287785	102696
737	288115	102284
738	288573	101918
739	288933	101517
740	289325	101127
741	289739	100744
742	290109	100347
743	290538	99970
744	290963	99591
745	291335	99194
746	291610	98764
747	291997	98373
748	292361	97974
749	292762	97587
750	293068	97169
751	293457	96778
752	293803	96373
753	294175	95977
754	294549	95582
755	294880	95172
756	295188	94756
757	295563	94361
758	295912	93958
759	296285	93563
760	296672	93173
761	297210	92829
762	297603	92440
763	297873	92013
764	298257	91621
765	298664	91237
766	299093	90858
767	299391	90441
768	299778	90050
769	300153	89656
770	300530	89262
771	300878	88860
772	301165	88440
773	301476	88028
774	301970	87668
775	302340	87273
776	302771	86895
777	303146	86501
778	303511	86105
779	303852	85701
780	304213	85304
781	304559	84902
782	304868	84490
783	305255	84100
784	305535	83681
785	305842	83270
786	306213	82876
787	306557	82474
788	306961	82089
789	307360	81703
790	307719	81306
791	308005	80890
792	308400	80503
793	308789	80114
794	309186	79727
795	309576	79338
796	309944	78944
797	310267	78538
798	310660	78151
799	311018	77754
800	311481	77384
801	311763	76968
802	312125	76573
803	312504	76182
804	312907	75797
805	313286	75406
806	313673	75017
807	314021	74619
808	314411	74230
809	314854	73854
810	315329	73486
811	315770	73109
812	316060	72697
813	316589	72341
814	316939	71943
815	317242	71535
816	317617	71143
817	317989	70750
818	318395	70365
819	318792	69978
820	319195	69593
821	319601	69208
822	319977	68816
823	320382	68431
824	320726	68032
825	321143	67650
826	321456	67245
827	321815	66850
828	322255	66472
829	322551	66064
830	322950	65678
831	323410	65304
832	323727	64901
833	324107	64510
834	324419	64106
835	324906	63737
836	325212	63332
837	325567	62937
838	325965	62551
839	326308	62153
840	326696	61765
841	327088	61377
842	327461	60986
843	327921	60611
844	328294	60219
845	328647	59824
846	328942	59419
847	329255	59017
848	329744	58647
849	330164	58264
850	330632	57889
851	330932	57485
852	331332	57099
853	331716	56710
854	332041	56311
855	332352	55909
856	332727	55519
857	333063	55122
858	333467	54736
859	333830	54344
860	334213	53955
861	334514	53553
862	334895	53164
863	335220	52766
864	335649	52384
865	336022	51994
866	336301	51589
867	336621	51191
868	337052	50810
869	337507	50432
870	337940	50050
871	338305	49659
872	338704	49273
873	339150	48893
874	339511	48501
875	339919	48116
876	340356	47735
877	340733	47345
878	341125	46958
879	341500	46568
880	341835	46172
881	342280	45792
882	342582	45393
883	343015	45011
884	343416	44624
885	343807	44237
886	344202	43849
887	344565	43458
888	344957	43071
889	345336	42682
890	345720	42293
891	346105	41905
892	346386	41504
893	346775	41116
894	347089	40719
895	347461	40330
896	347802	39937
897	348166	39546
898	348541	39157
899	348864	38762
900	349213	38370
901	349584	37981
902	349977	37594
903	350459	37216
904	350792	36823
905	351134	36431
906	351463	36037
907	351810	35645
908	352225	35261
909	352511	34863
910	352842	34470
911	353252	34085
912	353593	33694
913	353904	33299
914	354317	32914
915	354704	32527
916	355024	32134
917	355378	31744
918	355710	31352
919	356115	30966
920	356453	30575
921	356718	30177
922	357133	29793
923	357568	29410
924	357913	29019
925	358299	28632
926	358590	28238
927	358931	27848
928	359362	27464
929	359777	27080
930	360175	26694
931	360475	26300
932	360863	25914
933	361191	25523
934	361558	25135
935	361970	24750
936	362359	24363
937	362784	23979
938	363173	23592
939	363549	23205
940	363873	22814
941	364265	22428
942	364577	22037
943	365013	21653
944	365334	21262
945	365727	20876
946	366113	20489
947	366480	20102
948	366808	19712
949	367139	19323
950	367479	18934
951	367936	18551
952	368312	18164
953	368687	17777
954	369046	17389
955	369419	17002
956	369749	16613
957	370100	16225
958	370444	15837
959	370845	15451
960	371256	15066
961	371639	14680
962	371985	14292
963	372419	13907
964	372783	13520
965	373132	13133
966	373477	12745
967	373853	12358
968	374251	11972
969	374658	11587
970	374996	11199
971	375356	10812
972	375696	10425
973	376076	10038
974	376472	9653
975	376800	9265
976	377123	8878
977	377476	8491
978	377931	8106
979	378381	7722
980	378764	7335
981	379094	6948
982	379411	6561
983	379745	6174
984	380130	5788
985	380413	5401
986	380807	5015
987	381113	4628
988	381446	4242
989	381824	3856
990	382133	3470
991	382506	3084
992	382933	2699
993	383340	2313
994	383801	1928
995	384076	1542
996	384382	1156
997	384514	770
998	384646	385
999	384765	0

