Model_name,Accuracy,Loss,Hamming_loss,Filename
LogisticRegression,75.17,24.83,6.49,D:\test\Basic_Python\Project POMO\data scraping\Artifact\2022-09-02-21-27-09\Models\MultiLabelModel_LogisticRegression.pkl
KNeighborsClassifier,88.03,11.97,3.06,D:\test\Basic_Python\Project POMO\data scraping\Artifact\2022-09-02-21-27-09\Models\MultiLabelModel_KNeighborsClassifier.pkl
GaussianNB,62.79,37.21,14.77,D:\test\Basic_Python\Project POMO\data scraping\Artifact\2022-09-02-21-27-09\Models\MultiLabelModel_GaussianNB.pkl
SVC,99.76,0.24,0.05,D:\test\Basic_Python\Project POMO\data scraping\Artifact\2022-09-02-21-27-09\Models\MultiLabelModel_SVC.pkl
DecisionTreeClassifier,100.0,0.0,0.0,D:\test\Basic_Python\Project POMO\data scraping\Artifact\2022-09-02-21-27-09\Models\MultiLabelModel_DecisionTreeClassifier.pkl
RandomForestClassifier,100.0,0.0,0.0,D:\test\Basic_Python\Project POMO\data scraping\Artifact\2022-09-02-21-27-09\Models\MultiLabelModel_RandomForestClassifier.pkl
GradientBoostingClassifier,99.28,0.72,0.14,D:\test\Basic_Python\Project POMO\data scraping\Artifact\2022-09-02-21-27-09\Models\MultiLabelModel_GradientBoostingClassifier.pkl
AdaBoostClassifier,98.39,1.61,0.34,D:\test\Basic_Python\Project POMO\data scraping\Artifact\2022-09-02-21-27-09\Models\MultiLabelModel_AdaBoostClassifier.pkl
